,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
92,Liepāja,56.54,21.04,39.2,86,100,12.75,LV,1607129825
93,Tello,3.07,-75.14,73.58,69,20,4.65,CO,1607129825
94,Pacific,38.48,-90.74,39.52,77,0,5.84,US,1607129658
95,Cody,44.53,-109.06,33.42,51,1,3.22,US,1607129825
96,Norman,35.22,-97.44,46.71,42,1,4.7,US,1607129542
97,Kaitangata,-46.28,169.85,60.01,59,74,8.01,NZ,1607129324
98,Barrow,71.29,-156.79,12.2,78,90,19.46,US,1607129238
99,Puyang,29.46,119.89,48.99,29,27,4.0,CN,1607129825
100,Kavaratti,10.57,72.64,82.83,77,100,16.28,IN,1607129656
101,Nago,26.59,127.98,66.2,82,90,14.99,JP,1607129826
102,Taltal,-25.4,-70.48,60.49,74,11,5.12,CL,1607129826
103,Canmore,51.08,-115.35,34.86,59,6,6.93,CA,1607129826
104,Vuktyl,63.86,57.31,10.13,93,36,9.17,RU,1607129826
105,Chuguyevka,44.17,133.86,21.49,85,0,4.5,RU,1607129826
106,Sao,20.51,76.21,63.07,46,100,3.8,IN,1607129826
107,Gwanda,-20.93,29.0,66.92,84,100,10.51,ZW,1607129826
108,Sao,20.51,76.21,63.07,46,100,3.8,IN,1607129826
109,Dingle,11.0,122.67,82.54,80,91,5.23,PH,1607129407
110,Saint Paul Harbor,57.79,-152.41,26.6,53,1,5.82,US,1607129084
111,Caravelas,-17.71,-39.25,77.41,84,100,9.4,BR,1607129827
112,Kandrian,-6.22,149.55,88.72,62,100,6.64,PG,1607129827
113,Jumla,29.27,82.18,35.24,77,1,3.42,NP,1607129827
114,Airai,-8.93,125.41,66.79,100,100,1.32,TL,1607129281
115,Grindavik,63.84,-22.43,23.0,57,40,12.75,IS,1607129492
116,El Puerto de Santa María,36.59,-6.23,47.35,66,40,12.75,ES,1607129827
117,Upernavik,72.79,-56.15,16.52,96,100,12.68,GL,1607129366
118,Comodoro,-13.66,-59.79,70.81,91,91,5.68,BR,1607129827
119,Edd,13.93,41.69,77.81,55,0,10.16,ER,1607129827
120,Ottumwa,41.02,-92.41,37.9,64,1,6.93,US,1607129691
121,Husavik,66.04,-17.34,23.0,73,90,3.36,IS,1607129550
122,Green,40.95,-81.48,37.87,64,40,3.36,US,1607129828
123,Katsuura,35.13,140.3,44.33,81,75,13.87,JP,1607129242
124,Berovo,41.7,22.86,42.01,88,78,3.4,MK,1607129828
125,Thompson,55.74,-97.86,10.4,92,90,4.7,CA,1607129405
126,Lumeje,-11.55,20.78,63.82,96,97,5.28,AO,1607129828
127,Alexandria,31.22,29.96,55.4,87,40,5.97,EG,1607129828
128,Nizwá,22.93,57.53,64.33,53,0,1.88,OM,1607129828
129,Yumen,40.28,97.2,14.22,94,93,2.46,CN,1607129828
130,Vaitape,-16.52,-151.75,81.52,77,100,19.73,PF,1607129829
131,San,13.3,-4.9,69.94,23,6,1.14,ML,1607129818
132,Inhambane,-23.86,35.38,72.45,77,99,11.18,MZ,1607129485
133,Atuona,-9.8,-139.03,78.51,75,17,15.46,PF,1607129829
134,Hong Kong,22.29,114.16,55.69,68,0,1.99,HK,1607129237
135,Arraial,-22.84,-46.65,73.04,83,20,16.11,BR,1607129829
136,Bengkulu,-3.8,102.27,79.11,73,100,3.98,ID,1607129486
137,Mitchell,43.71,-98.03,39.2,55,1,6.93,US,1607129829
138,Terekli-Mekteb,44.17,45.87,39.38,73,99,18.37,RU,1607129829
139,Roskoshnoye,48.51,39.3,25.16,86,0,14.92,UA,1607129829
140,Lata,40.16,-8.33,41.45,91,100,1.01,PT,1607129830
141,Dhrāngadhra,22.98,71.47,64.67,42,0,0.2,IN,1607129657
142,Vila,42.03,-8.16,36.0,95,86,1.01,PT,1607129830
143,Turangi,-39.0,175.93,66.99,52,100,1.99,NZ,1607129830
144,Srednekolymsk,67.45,153.68,-25.71,85,16,1.41,RU,1607129830
145,Faya,18.39,42.45,53.6,93,56,2.48,SA,1607129634
146,Stephenville,32.22,-98.2,46.04,39,1,3.74,US,1607129556
147,Paranaíba,-19.68,-51.19,78.96,66,97,5.19,BR,1607129830
148,Ostrovnoy,68.05,39.51,27.09,95,90,23.82,RU,1607129467
149,Alofi,-19.06,-169.92,80.6,83,75,9.17,NU,1607129428
150,Raudeberg,61.99,5.14,36.48,69,100,10.29,NO,1607129831
151,Aquiraz,-3.9,-38.39,82.4,78,40,11.41,BR,1607129548
152,Cabo,-8.28,-35.03,78.8,74,40,8.05,BR,1607129831
153,Myaundzha,63.05,147.19,-17.14,86,100,1.74,RU,1607129831
154,Ulaangom,49.98,92.07,-2.06,76,13,3.8,MN,1607129831
155,Pontianak,-0.03,109.33,82.54,75,24,2.1,ID,1607129196
156,Itupiranga,-5.13,-49.33,78.8,77,100,2.01,BR,1607129831
157,Avera,33.19,-82.53,60.55,91,90,11.41,US,1607129668
158,Kulhudhuffushi,6.62,73.07,82.13,78,100,15.26,MV,1607129832
159,Mount,53.66,-1.85,34.74,98,100,5.01,GB,1607129832
160,Yazd,31.9,54.37,48.2,70,75,2.24,IR,1607129832
161,Talnakh,69.49,88.4,28.4,100,90,26.84,RU,1607129832
162,Meulaboh,4.14,96.13,77.02,90,98,6.93,ID,1607129610
163,Bandundu Province,-3.32,17.37,71.65,97,100,1.9,CD,1607129832
164,Ancud,-41.87,-73.82,59.52,51,0,14.99,CL,1607129832
165,Mulchén,-37.72,-72.23,67.06,46,0,6.62,CL,1607129832
166,Westport,41.14,-73.36,44.56,87,90,14.99,US,1607129648
167,Trastenik,43.52,24.47,30.2,100,90,4.7,BG,1607129833
168,Sālūmbar,24.13,74.05,63.3,35,0,2.62,IN,1607129833
169,Geraldton,-28.77,114.6,69.8,46,0,19.46,AU,1607129833
170,Pangnirtung,66.15,-65.71,18.93,85,95,5.14,CA,1607129604
171,Brae,60.4,-1.35,42.8,81,100,12.75,GB,1607129362
172,Carnarvon,-24.87,113.63,71.6,60,96,21.92,AU,1607129833
173,Balabac,7.99,117.06,83.73,76,4,7.0,PH,1607129833
174,Lompoc,34.64,-120.46,65.73,32,1,3.36,US,1607129464
175,Esperance,-33.87,121.9,62.6,55,90,23.04,AU,1607129833
176,Mogadouro,41.34,-6.71,33.01,91,24,4.0,PT,1607129833
177,Pevek,69.7,170.31,4.23,80,76,10.51,RU,1607129083
178,Coyhaique,-45.58,-72.07,62.6,42,0,3.36,CL,1607129675
179,Torbay,47.67,-52.73,33.94,100,5,9.17,CA,1607129398
180,Hobyo,5.35,48.53,78.21,78,64,9.26,SO,1607129754
181,Atyrau,47.12,51.88,3.2,84,0,8.95,KZ,1607129834
182,Shingū,33.73,135.98,53.6,58,20,14.99,JP,1607129834
183,Huarmey,-10.07,-78.15,67.08,82,100,7.67,PE,1607129728
184,Khasan,42.43,130.64,29.37,77,0,8.9,RU,1607129834
185,Nikolskoye,59.7,30.79,32.9,80,90,8.95,RU,1607129834
186,Leningradskiy,69.38,178.42,4.44,79,54,8.86,RU,1607129466
187,Narrabri,-30.32,149.78,95.0,30,46,20.8,AU,1607129835
188,Rotterdam,51.92,4.48,35.33,84,0,8.05,NL,1607129835
189,Banihāl,33.42,75.2,40.82,68,59,3.02,IN,1607129835
190,Cap,49.27,-1.21,37.35,100,75,9.17,FR,1607129835
191,Constitución,-35.33,-72.42,54.77,79,0,5.5,CL,1607129835
192,Springville,40.17,-111.61,31.17,64,1,0.49,US,1607129695
193,Halifax,44.65,-63.57,49.28,81,86,16.11,CA,1607129607
194,Waipawa,-41.41,175.52,62.17,72,98,24.16,NZ,1607129835
195,Medgidia,44.25,28.28,51.89,87,90,11.41,RO,1607129835
196,Zhuanghe,39.7,122.99,32.31,86,0,2.33,CN,1607129824
197,Chokurdakh,70.63,147.92,-28.62,86,92,4.07,RU,1607129361
198,Tiksi,71.69,128.87,-1.12,91,100,7.96,RU,1607129393
199,Cartagena,10.4,-75.51,80.6,88,20,6.93,CO,1607129836
200,Letka,59.6,49.42,9.16,91,48,7.4,RU,1607129836
201,El Puerto de Santa María,36.59,-6.23,47.35,66,40,12.75,ES,1607129836
202,Mpika,-11.83,31.45,62.49,93,99,1.45,ZM,1607129836
203,Tasiilaq,65.61,-37.64,21.2,92,100,4.7,GL,1607129252
204,Bontang,0.13,117.5,83.55,72,93,4.36,ID,1607129836
205,Mahébourg,-20.41,57.7,73.99,82,25,4.0,MU,1607129836
206,Inírida,3.87,-67.92,75.15,95,77,2.17,CO,1607129836
207,Ixtapa,20.7,-105.2,71.8,100,90,4.7,MX,1607129837
208,Oodweyne,9.41,45.06,71.02,66,6,1.92,SO,1607129837
209,Mandiana,10.63,-8.68,72.64,30,0,1.59,GN,1607129837
210,Begoro,6.39,-0.38,70.47,99,24,3.67,GH,1607129619
211,Grand,38.88,-109.5,32.61,19,1,8.05,US,1607129837
212,Machico,32.7,-16.77,60.8,63,40,11.41,PT,1607129837
213,Qingdao,36.1,120.37,32.0,69,100,4.47,CN,1607129599
214,Guadalajara,20.67,-103.33,63.25,68,75,6.93,MX,1607129826
215,Pacifica,37.61,-122.49,58.35,67,1,3.36,US,1607129838
216,Chimbote,-9.09,-78.58,66.88,82,100,5.48,PE,1607129623
217,Touros,-5.2,-35.46,78.8,83,40,4.7,BR,1607129392
218,Olinda,-8.01,-34.86,78.8,74,40,8.05,BR,1607129838
219,Beira,-19.84,34.84,76.68,89,100,13.65,MZ,1607129798
220,Lorengau,-2.02,147.27,86.09,66,36,6.89,PG,1607129571
221,Nakusp,50.25,-117.8,30.69,89,0,1.12,CA,1607129838
222,Tutóia,-2.76,-42.27,81.32,81,100,10.58,BR,1607129838
223,Zhigansk,66.77,123.37,-14.94,88,80,9.44,RU,1607129438
224,Vostok,46.49,135.88,10.69,93,57,6.42,RU,1607129427
225,Greymouth,-42.47,171.2,56.68,84,100,17.67,NZ,1607129839
226,Ribeira,42.75,-8.44,37.76,86,75,5.82,ES,1607129839
227,Kiama,-34.68,150.87,73.38,76,94,16.93,AU,1607129592
228,Tokur,53.13,132.9,-0.47,93,99,4.18,RU,1607129839
229,Bonthe,7.53,-12.51,79.09,85,0,7.67,SL,1607129839
230,Panama,9.0,-80.0,80.06,74,20,6.93,PA,1607129839
231,Gberia,9.81,-12.13,74.3,91,40,1.72,SL,1607129839
232,Zhezkazgan,47.8,67.71,-7.89,92,100,5.39,KZ,1607129839
233,Sur,22.57,59.53,74.14,61,0,3.24,OM,1607129397
234,Dongsheng,39.82,109.98,11.28,95,95,8.48,CN,1607129839
235,Naze,28.37,129.48,67.12,72,75,16.11,JP,1607129804
236,Sept-Îles,50.2,-66.38,32.23,96,100,4.7,CA,1607129840
237,Gillette,44.29,-105.5,38.66,37,1,6.93,US,1607129840
238,Sovetskiy,61.36,63.58,15.08,91,91,6.67,RU,1607129840
239,Japoatã,-10.35,-36.8,75.24,83,57,7.09,BR,1607129840
240,Fortuna,40.6,-124.16,50.09,80,0,1.01,US,1607129829
241,Ilulissat,69.22,-51.1,35.6,64,100,9.17,GL,1607129456
242,Tonj,7.27,28.68,77.65,27,30,0.56,SS,1607129840
243,Abadan,38.05,58.21,33.8,55,90,2.24,TM,1607129840
244,Acapulco de Juárez,16.86,-99.89,82.4,74,40,4.7,MX,1607129313
245,Beatrice,40.27,-96.75,40.35,64,1,5.3,US,1607129841
246,Constantine,36.37,6.61,48.2,66,40,14.99,DZ,1607129841
247,Kānker,20.27,81.49,56.97,50,4,2.24,IN,1607129841
248,Rāwah,34.48,41.91,54.91,43,100,4.83,IQ,1607129841
249,Namatanai,-3.67,152.43,85.96,63,68,4.94,PG,1607129841
250,Greenock,55.95,-4.76,40.64,86,95,11.41,GB,1607129602
251,Bethel,41.37,-73.41,42.44,94,100,1.99,US,1607129667
252,Zhuhai,22.28,113.57,57.47,67,0,21.92,CN,1607129615
253,Kupang,-10.17,123.58,86.0,66,40,8.05,ID,1607129643
254,Alice,27.75,-98.07,53.1,50,1,4.7,US,1607129841
255,Yangi Marg`ilon,40.43,71.72,35.6,80,100,2.17,UZ,1607129715
256,Atambua,-9.11,124.89,83.19,69,75,0.18,ID,1607129739
257,Boyolangu,-8.12,111.89,82.27,74,82,1.39,ID,1607129790
258,Camaçari,-12.7,-38.32,82.4,74,40,13.87,BR,1607129670
259,Zarya,55.76,38.1,21.22,79,75,8.95,RU,1607129842
260,Aykhal,66.0,111.5,-5.8,83,0,6.71,RU,1607129842
261,Mezen',65.85,44.24,19.0,96,99,9.35,RU,1607129842
262,Bilibino,68.05,166.44,-9.72,74,0,2.1,RU,1607129842
263,Tual,-5.67,132.75,85.28,67,98,5.32,ID,1607129842
264,Timbiquí,2.77,-77.67,75.76,92,98,3.02,CO,1607129842
265,Carbonia,39.17,8.52,57.69,87,40,11.41,IT,1607129842
266,Yaan,7.38,8.57,77.09,61,0,6.49,NG,1607129842
267,Hervey,33.5,-93.78,42.55,75,1,4.43,US,1607129842
268,Chegdomyn,51.12,133.02,8.35,93,100,1.63,RU,1607129843
269,Pyapon,16.28,95.68,75.09,80,37,4.81,MM,1607129843
270,Palmer,42.16,-72.33,46.69,61,90,6.93,US,1607129552
271,Gannan,47.91,123.5,18.41,81,0,10.71,CN,1607129843
272,Formoso,-14.95,-46.23,71.56,73,24,2.53,BR,1607129843
273,Longyearbyen,78.22,15.64,8.6,60,40,13.87,SJ,1607129509
274,Lydenburg,-25.1,30.46,57.04,100,79,7.0,ZA,1607129843
275,Esmeraldas,-19.76,-44.31,73.4,78,40,3.36,BR,1607129709
276,Verkhnevilyuysk,63.45,120.32,-6.36,91,93,5.88,RU,1607129844
277,Iqaluit,63.75,-68.51,24.8,79,90,4.7,CA,1607129418
278,Novo,22.78,-82.23,73.4,83,40,5.82,CU,1607129844
279,Qui,-10.97,-37.6,80.6,78,40,13.87,BR,1607129844
280,Tūkrah,32.53,20.58,59.25,69,0,4.03,LY,1607129844
281,Souillac,-20.52,57.52,73.99,81,35,5.01,MU,1607129419
282,Gorontalo,0.54,123.06,87.35,67,93,3.06,ID,1607129844
283,Nantucket,41.28,-70.1,53.33,76,90,10.29,US,1607129564
284,Turukhansk,65.82,87.98,14.5,97,100,16.62,RU,1607129845
285,Marsala,37.8,12.44,58.05,82,20,13.87,IT,1607129845
286,Andenes,69.31,16.12,35.76,80,100,9.17,NO,1607129845
287,San,13.3,-4.9,69.94,23,6,1.14,ML,1607129582
288,Kumul,42.8,93.45,15.44,81,17,1.34,CN,1607129334
289,Porto,41.15,-8.61,41.0,93,20,3.36,PT,1607129830
290,Ugoofaaru,5.67,73.0,81.99,77,80,14.76,MV,1607129716
291,Anloga,5.79,0.9,80.6,88,20,9.17,GH,1607129845
292,Rørvik,64.86,11.24,40.44,70,100,18.84,NO,1607129845
293,Paris,48.85,2.35,37.53,100,90,6.93,FR,1607129700
294,Seoul,37.57,126.98,32.74,64,1,1.43,KR,1607129668
295,Dunedin,-45.87,170.5,54.09,77,100,5.01,NZ,1607129204
296,Saskylakh,71.92,114.08,-3.95,90,100,8.7,RU,1607129251
297,Tomatlán,19.93,-105.25,71.46,91,51,2.89,MX,1607129846
298,Port,-7.03,29.76,72.05,75,100,4.99,CD,1607129846
299,Campbell,38.95,-84.38,37.22,100,1,5.82,US,1607129846
300,Ritchie,-29.04,24.6,62.6,67,0,2.24,ZA,1607129846
301,Tura,25.52,90.22,59.67,89,0,1.66,IN,1607129358
302,Verkhnyaya,60.98,40.21,18.99,97,100,8.41,RU,1607129846
303,Bull,6.2,-10.28,78.8,94,75,3.89,LR,1607129847
304,Santa,17.49,120.43,83.79,68,0,11.7,PH,1607129553
305,Zenzeli,45.92,47.05,24.15,90,0,14.2,RU,1607129847
306,Ambilobe,-13.2,49.05,74.08,84,0,2.19,MG,1607129847
307,Ulverstone,-41.15,146.17,57.83,74,100,7.0,AU,1607129847
308,Canindé,-4.36,-39.31,78.93,69,3,2.37,BR,1607129847
309,El Puerto de Santa María,36.59,-6.23,47.35,66,40,12.75,ES,1607129836
310,Borkenes,68.77,16.17,32.05,83,100,15.01,NO,1607129847
311,Sitka,57.05,-135.33,46.4,87,90,8.05,US,1607129847
312,Ballina,-28.87,153.57,88.81,66,28,16.11,AU,1607129848
313,Lewistown,40.6,-77.57,41.31,100,90,1.12,US,1607129848
314,Sao,20.51,76.21,63.07,46,100,3.8,IN,1607129826
315,Ghanzi,-21.57,21.78,74.41,49,0,11.83,BW,1607129848
316,Kokuy,52.2,117.55,3.36,90,100,1.57,RU,1607129848
317,Koumac,-20.57,164.28,81.21,65,7,8.37,NC,1607129620
318,Dabola,10.75,-11.12,72.23,33,2,2.06,GN,1607129848
319,Dhidhdhoo,6.88,73.1,82.38,78,100,15.26,MV,1607129848
320,Sao,20.51,76.21,63.07,46,100,3.8,IN,1607129826
321,Samaná,19.21,-69.34,75.2,88,40,4.7,DO,1607129848
322,Jefferson,38.18,-85.65,40.96,70,40,8.05,US,1607129849
323,Vozhega,60.47,40.22,19.24,97,100,7.49,RU,1607129849
324,Rio,38.3,21.78,44.46,93,40,2.71,GR,1607129849
325,San,13.3,-4.9,69.94,23,6,1.14,ML,1607129582
326,Novikovo,51.15,37.89,21.69,84,0,11.01,RU,1607129849
327,San,13.3,-4.9,69.94,23,6,1.14,ML,1607129582
328,Port,-7.03,29.76,72.05,75,100,4.99,CD,1607129846
329,Mys,62.06,48.62,15.3,95,100,6.22,RU,1607129849
330,Khagaria,25.5,86.48,61.2,54,0,2.24,IN,1607129849
331,Flagstaff,35.2,-111.65,34.54,14,1,5.99,US,1607129849
332,Svetlaya,46.54,138.33,24.53,84,45,8.5,RU,1607129849
333,Hambantota,6.12,81.12,77.0,100,20,6.93,LK,1607129598
334,Rome,43.21,-75.46,38.26,93,90,8.03,US,1607129717
335,Escárcega,18.61,-90.75,71.35,98,100,2.37,MX,1607129850
336,Mareeba,-17.0,145.43,86.92,55,40,10.29,AU,1607129775
337,Verkh-Chebula,56.03,87.62,-3.78,91,3,1.95,RU,1607129850
338,Narsaq,60.92,-46.05,41.0,32,100,17.22,GL,1607129321
339,Mackay,-21.15,149.2,86.11,58,75,13.87,AU,1607129850
340,Lianhe,47.13,129.27,12.43,87,6,3.85,CN,1607129850
341,Ponta,38.73,-28.27,58.51,79,100,13.04,PT,1607129850
342,Rawson,-43.3,-65.1,59.47,48,88,19.84,AR,1607129850
343,Jatai,-17.88,-51.71,76.26,59,100,3.58,BR,1607129850
344,Ishim,56.11,69.49,-1.71,93,0,1.05,RU,1607129851
345,Valkeakoski,61.26,24.03,33.58,96,90,8.05,FI,1607129851
346,Port,-7.03,29.76,72.05,75,100,4.99,CD,1607129851
347,Clyde,41.3,-82.98,41.34,86,1,5.17,US,1607129637
348,Berdigestyakh,62.1,126.7,-1.73,91,100,7.7,RU,1607129797
349,Dukat,62.55,155.55,-7.13,90,40,3.53,RU,1607129851
350,Hasaki,35.73,140.83,43.23,93,75,8.05,JP,1607129566
351,Vila,42.03,-8.16,36.0,95,86,1.01,PT,1607129830
352,Mlonggo,-6.53,110.7,78.8,88,20,11.68,ID,1607129851
353,Port,-7.03,29.76,72.05,75,100,4.99,CD,1607129851
354,Uruçuí,-7.23,-44.56,79.7,64,2,2.15,BR,1607129852
355,Ismailia,30.6,32.27,60.73,45,52,6.29,EG,1607129852
356,Partūr,19.6,76.22,59.36,59,99,3.69,IN,1607129853
357,Aasiaat,68.71,-52.87,32.56,93,100,11.07,GL,1607129853
358,Chardara,41.25,67.97,27.59,81,0,1.7,KZ,1607129853
359,Kīhei,20.79,-156.47,80.71,45,20,26.4,US,1607129853
360,Kampene,-3.6,26.67,68.47,92,100,1.52,CD,1607129853
361,Selma,36.57,-119.61,64.0,25,1,2.91,US,1607129690
362,Gōtsuchō,35.0,132.22,50.0,57,40,8.05,JP,1607129423
363,Potosí,-19.58,-65.75,47.34,81,98,5.14,BO,1607129854
364,Marabba,12.35,32.18,71.44,19,0,10.67,SD,1607129854
365,Kostomuksha,64.57,30.58,29.53,96,100,11.56,RU,1607129854
366,Dakar,14.69,-17.44,77.0,78,0,13.87,SN,1607129854
367,Nador,35.17,-2.93,51.13,71,40,16.11,MA,1607129854
368,Tamandaré,-8.76,-35.1,77.94,83,92,9.46,BR,1607129854
369,Santa,17.49,120.43,83.79,68,0,11.7,PH,1607129734
370,Abhā,18.22,42.51,53.47,93,96,2.42,SA,1607129678
371,Jacmel,18.23,-72.53,80.6,74,40,1.28,HT,1607129854
372,Mount Abu,24.6,72.7,54.14,49,0,2.37,IN,1607129822
373,Bowen,-20.02,148.23,87.8,45,100,4.7,AU,1607129323
374,Ochamchira,42.71,41.47,48.74,52,0,5.39,GE,1607129855
375,Tigil',57.8,158.67,10.35,92,0,5.66,RU,1607129855
376,Sioux,42.73,-96.23,33.93,74,1,4.09,US,1607129855
377,Bambous,-20.26,57.41,73.99,82,1,4.0,MU,1607129855
378,Hyères,43.12,6.12,42.75,93,0,4.7,FR,1607129855
379,Guerrero,17.67,-100.0,65.98,76,0,3.22,MX,1607129855
